ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0,0,Flensburg,Schleswig-Holstein,89504,Flensburg,89504,0.49829058,0.50170942,0.17479,0.23709,0.02119,0.20263,0.05824,0.30605,0.04773,0.05147,0.05158,0.04821,0.04954,0.06164,0.04739,0.05089,0.06213,0.07442,0.08351,0.07959,0.06102,0.05415,0.05019,0.04854,0.04445,0.03356,0.13528,0.11875,0.07239,0.12919,0.01221,0.05073,0.20678,0.19222,0.06529,0.01717,0.34617,0.10209,0.4237,0.12804
1,1,Kiel,Schleswig-Holstein,247548,Kiel,247548,0.4870409,0.5129591,0.20254,0.12217,0.09866,0.01197,0.10207,0.46259,0.04022,0.03923,0.04548,0.04575,0.05311,0.05747,0.06054,0.06417,0.04888,0.06674,0.0859,0.08379,0.05917,0.0611,0.05706,0.05072,0.03866,0.042,0.12198,0.22557,0.18464,0.13424,0.01771,0.00231,0.06988,0.06949,0.00978,0.16438,0.08827,0.31201,0.50485,0.09486
2,2,Lübeck,Schleswig-Holstein,217198,Lübeck,217198,0.48053389,0.51946611,0.02557,0.20875,0.20365,0.26652,0.27623,0.01929,0.04054,0.04956,0.05037,0.0485,0.04491,0.05978,0.06267,0.06114,0.06114,0.06483,0.08861,0.08147,0.06341,0.04745,0.04467,0.05587,0.0375,0.03757,0.06052,0.18256,0.20374,0.03421,0.06373,0.06904,0.16507,0.03389,0.07181,0.11543,0.14277,0.12471,0.57143,0.16108
3,3,Neumünster,Schleswig-Holstein,79487,Neumünster,79487,0.49367821,0.50632179,0.11527,0.44988,0.17143,0.04841,0.03985,0.17516,0.03642,0.04583,0.04302,0.04392,0.05937,0.04926,0.05497,0.06675,0.05908,0.06767,0.08997,0.08153,0.05946,0.06637,0.04653,0.05282,0.03916,0.03789,0.04992,0.12975,0.03424,0.29993,0.03596,0.00064,0.09819,0.01259,0.10521,0.23356,0.01514,0.02559,0.90304,0.05623
4,4,Brunsbüttel,Schleswig-Holstein,12554,Brunsbüttel,12554,0.50135415,0.49864585,0.03039,0.10384,0.1283,0.0398,0.43238,0.2653,0.04595,0.05024,0.05084,0.03605,0.04554,0.06071,0.04726,0.05813,0.06246,0.06796,0.09106,0.0849,0.06539,0.04841,0.04284,0.05566,0.04374,0.04287,0.08526,0.10208,0.04129,0.26145,0.00877,0.17504,0.15348,0.13749,0.01803,0.0171,0.137,0.22446,0.36574,0.2728
5,5,Heide,Schleswig-Holstein,21684,Heide,21684,0.47546578,0.52453422,0.29843,0.03821,0.01768,0.52025,0.03315,0.09228,0.04852,0.03668,0.04314,0.04471,0.05747,0.06006,0.06201,0.06424,0.06307,0.0696,0.0954,0.07986,0.06788,0.04962,0.04582,0.04593,0.03462,0.03137,0.29373,0.13066,0.01577,0.31977,0.02216,0.00819,0.03315,0.04096,0.01745,0.11817,0.24259,0.42252,0.01693,0.31795
6,6,Averlak,Schleswig-Holstein,557,Averlak,557,0.51885099,0.48114901,0.06368,0.31063,0.08176,0.35842,0.10024,0.08526,0.04365,0.04415,0.04224,0.03902,0.05295,0.05752,0.06544,0.05368,0.06601,0.06227,0.0969,0.08684,0.06276,0.06043,0.04422,0.05342,0.03498,0.03351,0.02691,0.02448,0.2143,0.08375,0.25617,0.06837,0.09453,0.06658,0.09961,0.06529,0.47597,0.06616,0.04675,0.41112
7,7,Brickeln,Schleswig-Holstein,217,Brickeln,217,0.52995392,0.47004608,0.20433,0.25917,0.03352,0.26069,0.11876,0.12353,0.04916,0.04402,0.0459,0.03604,0.0628,0.0545,0.05619,0.05651,0.05591,0.07595,0.08919,0.07909,0.07243,0.05184,0.04326,0.04785,0.03906,0.0403,0.00539,0.08035,0.1466,0.24351,0.06273,0.11595,0.11795,0.06562,0.06211,0.09978,0.42328,0.1695,0.29006,0.11716
8,8,Buchholz,Schleswig-Holstein,996,Buchholz,996,0.51706827,0.48293173,0.2816,0.20334,0.01818,0.00998,0.06557,0.42133,0.05136,0.03574,0.04115,0.0368,0.06016,0.05954,0.06281,0.05417,0.05646,0.06949,0.08397,0.07823,0.07005,0.05694,0.04995,0.05281,0.04194,0.03843,0.05883,0.06679,0.09857,0.30015,0.16939,0.06612,0.08218,0.08594,0.03599,0.03603,0.11118,0.01675,0.39605,0.47602
9,9,Burg (Dithmarschen),Schleswig-Holstein,4142,Burg (Dithmarschen),4142,0.4901014,0.5098986,0.15875,0.11741,0.09934,0.56279,0.04436,0.01735,0.04798,0.05016,0.04391,0.04214,0.06071,0.05411,0.05455,0.0539,0.06421,0.06494,0.0893,0.08362,0.0615,0.05003,0.04418,0.0558,0.03806,0.04089,0.03359,0.01779,0.00039,0.07516,0.15734,0.00504,0.49452,0.13685,0.05886,0.02045,0.70515,0.22963,0.05391,0.01131
