,USPS,ST,NAME,ZCTA5,LAT,LON
01001000,Schleswig-Holstein,SH,Flensburg,24937,54.78252,9.43751
01002000,Schleswig-Holstein,SH,Kiel,24103,54.321775,10.13727
01003000,Schleswig-Holstein,SH,Lübeck,23552,53.866269,10.683932
01004000,Schleswig-Holstein,SH,Neumünster,24534,54.069895,9.988422
01051011,Schleswig-Holstein,SH,Brunsbüttel,25541,53.896932,9.13735
01051044,Schleswig-Holstein,SH,Heide,25746,54.193962,9.091156
01051003,Schleswig-Holstein,SH,Averlak,25715,53.941154,9.182663
01051010,Schleswig-Holstein,SH,Brickeln,25712,54.00849,9.221166
01051012,Schleswig-Holstein,SH,Buchholz,25712,53.987132,9.223774
01051016,Schleswig-Holstein,SH,Burg (Dithmarschen),25712,53.99748,9.26246
01051022,Schleswig-Holstein,SH,Dingen,25715,53.960888,9.125804
01051024,Schleswig-Holstein,SH,Eddelak,25715,53.945888,9.137433
01051026,Schleswig-Holstein,SH,Eggstedt,25721,54.054535,9.25927
01051032,Schleswig-Holstein,SH,Frestedt,25727,54.023639,9.175759
01051037,Schleswig-Holstein,SH,Großenrade,25712,54.02206,9.223435
01051051,Schleswig-Holstein,SH,Hochdonn,25712,54.019564,9.293145
01051064,Schleswig-Holstein,SH,Kuden,25712,53.967853,9.192822
01051089,Schleswig-Holstein,SH,Quickborn,25712,54.009984,9.206618
01051097,Schleswig-Holstein,SH,Sankt Michaelisdonn,25693,53.994438,9.122148
01051110,Schleswig-Holstein,SH,Süderhastedt,25727,54.04991,9.20886
01051021,Schleswig-Holstein,SH,Diekhusen-Fahrstedt,25709,53.946249,9.023165
01051034,Schleswig-Holstein,SH,Friedrichskoog,25718,54.013926,8.89741
01051046,Schleswig-Holstein,SH,Helse,25709,53.977556,9.010226
01051057,Schleswig-Holstein,SH,Kaiser-Wilhelm-Koog,25709,53.942933,8.926364
01051062,Schleswig-Holstein,SH,Kronprinzenkoog,25709,53.97171,8.964528
01051072,Schleswig-Holstein,SH,Marne,25709,53.953695,9.008761
01051073,Schleswig-Holstein,SH,Marnerdeich,25709,53.948483,8.982956
01051076,Schleswig-Holstein,SH,Neufeld,25724,53.907224,9.019046
01051077,Schleswig-Holstein,SH,Neufelderkoog,25724,53.906958,8.968827
01051090,Schleswig-Holstein,SH,Ramhusen,25715,53.941207,9.090658
01051103,Schleswig-Holstein,SH,Schmedeswurth,25724,53.926172,9.040335
01051118,Schleswig-Holstein,SH,Trennewurth,25693,54.000236,9.025792
01051119,Schleswig-Holstein,SH,Volsemenhusen,25693,53.967901,9.065625
01051005,Schleswig-Holstein,SH,Barkenholm,25791,54.237387,9.174339
01051008,Schleswig-Holstein,SH,Bergewöhrden,25779,54.318469,9.209426
01051019,Schleswig-Holstein,SH,Dellstedt,25786,54.237892,9.369143
01051020,Schleswig-Holstein,SH,Delve,25788,54.303978,9.252365
01051023,Schleswig-Holstein,SH,Dörpling,25794,54.260654,9.301925
01051030,Schleswig-Holstein,SH,Fedderingen,25779,54.281144,9.132642
01051035,Schleswig-Holstein,SH,Gaushorn,25782,54.194896,9.225318
01051036,Schleswig-Holstein,SH,Glüsing,25779,54.274547,9.216421
01051038,Schleswig-Holstein,SH,Groven,25774,54.300165,8.989147
01051047,Schleswig-Holstein,SH,Hemme,25774,54.28021,9.010966
01051049,Schleswig-Holstein,SH,Hennstedt,25779,54.283636,9.168248
01051052,Schleswig-Holstein,SH,Hövede,25782,54.243806,9.293409
01051053,Schleswig-Holstein,SH,Hollingstedt,25788,54.290548,9.226797
01051058,Schleswig-Holstein,SH,Karolinenkoog,25774,54.292554,8.965495
01051060,Schleswig-Holstein,SH,Kleve,25779,54.295706,9.123229
01051061,Schleswig-Holstein,SH,Krempel,25774,54.320019,9.027607
01051065,Schleswig-Holstein,SH,Lehe,25774,54.344168,9.025334
01051068,Schleswig-Holstein,SH,Linden,25791,54.252623,9.182428
01051071,Schleswig-Holstein,SH,Lunden,25774,54.330568,9.024249
01051080,Schleswig-Holstein,SH,Norderheistedt,25779,54.245331,9.146139
01051088,Schleswig-Holstein,SH,Pahlen,25794,54.267813,9.296387
01051092,Schleswig-Holstein,SH,Rehm-Flehde-Bargen,25776,54.303981,9.036287
01051096,Schleswig-Holstein,SH,Sankt Annen,25776,54.345413,9.07975
01051100,Schleswig-Holstein,SH,Schalkholz,25782,54.246244,9.257028
01051102,Schleswig-Holstein,SH,Schlichting,25779,54.31014,9.089378
01051114,Schleswig-Holstein,SH,Tellingstedt,25782,54.219944,9.2822
01051117,Schleswig-Holstein,SH,Tielenhemme,25794,54.27746,9.398414
01051120,Schleswig-Holstein,SH,Wallen,25788,54.284766,9.269563
01051125,Schleswig-Holstein,SH,Welmbüttel,25782,54.196873,9.246826
01051131,Schleswig-Holstein,SH,Westerborstel,25782,54.220127,9.260601
01051133,Schleswig-Holstein,SH,Wiemerstedt,25779,54.269259,9.11111
01051136,Schleswig-Holstein,SH,Wrohm,25799,54.212642,9.379505
01051139,Schleswig-Holstein,SH,Süderdorf,25782,54.220732,9.343678
01051141,Schleswig-Holstein,SH,Süderheistedt,25779,54.23483,9.148463
01051048,Schleswig-Holstein,SH,Hemmingstedt,25770,54.14876,9.073156
01051067,Schleswig-Holstein,SH,Lieth,25770,54.15531,9.060773
01051069,Schleswig-Holstein,SH,Lohe-Rickelshof,25746,54.187725,9.065603
01051075,Schleswig-Holstein,SH,Neuenkirchen,25792,54.235602,8.987884
01051081,Schleswig-Holstein,SH,Norderwöhrden,25746,54.192783,9.000232
01051082,Schleswig-Holstein,SH,Nordhastedt,25785,54.17205,9.182991
01051087,Schleswig-Holstein,SH,Ostrohe,25746,54.214,9.130804
01051107,Schleswig-Holstein,SH,Stelle-Wittenwurth,25795,54.254357,9.066849
01051113,Schleswig-Holstein,SH,Wöhrden,25797,54.165463,8.994508
01051122,Schleswig-Holstein,SH,Weddingstedt,25795,54.239275,9.088863
01051130,Schleswig-Holstein,SH,Wesseln,25746,54.208327,9.075443
01051001,Schleswig-Holstein,SH,Albersdorf,25767,54.146557,9.283995
01051002,Schleswig-Holstein,SH,Arkebek,25767,54.160197,9.250362
01051004,Schleswig-Holstein,SH,Bargenstedt,25704,54.095594,9.144199
01051006,Schleswig-Holstein,SH,Barlt,25719,54.012444,9.058002
01051015,Schleswig-Holstein,SH,Bunsoh,25767,54.165522,9.320225
01051017,Schleswig-Holstein,SH,Busenwurth,25719,54.041407,9.041298
01051027,Schleswig-Holstein,SH,Elpersbüttel,25704,54.072963,9.047156
01051028,Schleswig-Holstein,SH,Epenwöhrden,25704,54.112805,9.052894
01051039,Schleswig-Holstein,SH,Gudendorf,25693,54.024736,9.1082
01051054,Schleswig-Holstein,SH,Immenstedt,25767,54.180686,9.299737
01051063,Schleswig-Holstein,SH,Krumstedt,25727,54.068684,9.177954
01051074,Schleswig-Holstein,SH,Meldorf,25704,54.090945,9.068784
01051078,Schleswig-Holstein,SH,Nindorf,25704,54.086722,9.114943
01051083,Schleswig-Holstein,SH,Odderade,25785,54.139384,9.190795
01051085,Schleswig-Holstein,SH,Offenbüttel,25767,54.169186,9.357994
01051086,Schleswig-Holstein,SH,Osterrade,25767,54.190212,9.353264
01051098,Schleswig-Holstein,SH,Sarzbüttel,25785,54.118971,9.184289
01051099,Schleswig-Holstein,SH,Schafstedt,25725,54.079915,9.293675
01051104,Schleswig-Holstein,SH,Schrum,25782,54.187229,9.251667
01051126,Schleswig-Holstein,SH,Wennbüttel,25767,54.138606,9.3225
01051134,Schleswig-Holstein,SH,Windbergen,25729,54.044978,9.117779
01051135,Schleswig-Holstein,SH,Wolmersdorf,25704,54.077114,9.103978
01051137,Schleswig-Holstein,SH,Nordermeldorf,25704,54.112068,9.013736
01051138,Schleswig-Holstein,SH,Tensbüttel-Röst,25767,54.105741,9.228605
01051013,Schleswig-Holstein,SH,Büsum,25761,54.130341,8.859577
01051014,Schleswig-Holstein,SH,Büsumer Deichhausen,25761,54.136175,8.890088
01051033,Schleswig-Holstein,SH,Friedrichsgabekoog,25764,54.157516,8.941082
01051043,Schleswig-Holstein,SH,Hedwigenkoog,25761,54.177985,8.840953
01051045,Schleswig-Holstein,SH,Hellschen-Heringsand-Unterschaar,25764,54.194536,8.872882
01051050,Schleswig-Holstein,SH,Hillgroven,25764,54.227921,8.874901
01051079,Schleswig-Holstein,SH,Norddeich,25764,54.218049,8.899964
01051084,Schleswig-Holstein,SH,Oesterdeichstrich,25761,54.158891,8.900566
01051093,Schleswig-Holstein,SH,Reinsbüttel,25764,54.179073,8.911057
01051105,Schleswig-Holstein,SH,Schülp,25764,54.241971,8.929943
