,USPS,ST,NAME,ZCTA5,LAT,LON
1,Sachsen,SN,Dresden,01067,51.0602569076,13.7178040368 
2,Sachsen,SN,Dresden,01069,51.0399105535,13.7368423564 
3,Sachsen,SN,Dresden,01069,51.0208510372,13.7281700576 
4,Sachsen,SN,Dresden,01097,51.0668457274,13.7413104526 
5,Sachsen,SN,Dresden,01099,51.0917810804,13.827603781 
6,Sachsen,SN,Dresden,01108,51.1524867842,13.7873379518 
7,Sachsen,SN,Dresden,01109,51.1204653473,13.7552014876 
8,Sachsen,SN,Dresden,01127,51.0914070887,13.7448931831 
9,Sachsen,SN,Dresden,01127,51.079463699,13.7298900766 
10,Sachsen,SN,Dresden,01129,51.096961008,13.7234858405 
11,Sachsen,SN,Dresden,01139,51.0806053874,13.688444034 
12,Sachsen,SN,Dresden,01156,51.065823683,13.6212744223 
13,Sachsen,SN,Dresden,01157,51.0643546321,13.6676836217 
14,Sachsen,SN,Dresden,01159,51.0434237664,13.6977013964 
15,Sachsen,SN,Dresden,01169,51.0396194473,13.6666945214 
16,Sachsen,SN,Dresden,01187,51.0266923878,13.7005453553 
17,Sachsen,SN,Dresden,01189,51.0141715216,13.7015693251 
18,Sachsen,SN,Dresden,01217,51.0162613682,13.7431298543 
19,Sachsen,SN,Dresden,01219,51.0231900733,13.7659262538 
20,Sachsen,SN,Dresden,01237,51.0175535116,13.7987303158 
21,Sachsen,SN,Dresden,01239,50.9995611893,13.7851733363 
22,Sachsen,SN,Dresden,01257,51.0116667136,13.8107776569 
23,Sachsen,SN,Dresden,01257,50.9978001918,13.815323544 
24,Sachsen,SN,Dresden,01259,50.995517355,13.8475594497 
25,Sachsen,SN,Dresden,01277,51.0361411946,13.7972845618 
26,Sachsen,SN,Dresden,01279,51.0272579179,13.8266134562 
27,Sachsen,SN,Dresden,01307,51.05418296,13.7702222162 
28,Sachsen,SN,Dresden,01309,51.0492211051,13.7894326147 
29,Sachsen,SN,Dresden,01324,51.0601283152,13.8462498359 
30,Sachsen,SN,Dresden,01326,51.0260809883,13.8575688116 
31,Sachsen,SN,Dresden,01328,51.0421726226,13.9076698718 
32,Sachsen,SN,Radebeul,01445,51.1133028546,13.6410370882 
33,Sachsen,SN,Radeberg, Wachau,01454,51.1402970658,13.913416323 
34,Sachsen,SN,Ottendorf-Okrilla,01458,51.177185435,13.8214781966 
35,Sachsen,SN,Dresden,01465,51.1116874111,13.8313714843 
36,Sachsen,SN,Dresden,01465,51.1390373879,13.8517053033 
37,Sachsen,SN,Dresden,01465,51.1248229364,13.8221422813 
38,Sachsen,SN,Moritzburg,01468,51.1621026299,13.6662993757 
39,Sachsen,SN,Radeburg,01471,51.1918407826,13.7308185642 
40,Sachsen,SN,Arnsdorf b. Dresden,01477,51.0921264161,13.9833619691 
41,Sachsen,SN,Großenhain,01558,51.2900748893,13.5387187391 
42,Sachsen,SN,Großenhain, Ebersbach u.a.,01561,51.2962326096,13.6338477979 
43,Sachsen,SN,Riesa,01587,51.3015225713,13.2707647067 
44,Sachsen,SN,Riesa,01589,51.2917259611,13.3247041497 
45,Sachsen,SN,Riesa,01591,51.3169690718,13.2442198174 
46,Sachsen,SN,Riesa, Stauchitz, Hirschstein,01594,51.2589989174,13.2901694001 
47,Sachsen,SN,Gröditz, Wülknitz, Röderaue,01609,51.3912220278,13.4252056482 
48,Sachsen,SN,Nünchritz, Glaubitz,01612,51.2956990776,13.408412317 
49,Sachsen,SN,Strehla,01616,51.3614993906,13.229872569 
50,Sachsen,SN,Zeithain,01619,51.3681108151,13.314589411 
51,Sachsen,SN,Lommatzsch,01623,51.2044800573,13.2943637345 
52,Sachsen,SN,Coswig,01640,51.1376918676,13.5769157633 
53,Sachsen,SN,Meißen,01662,51.1622893261,13.4783723376 
54,Sachsen,SN,Nossen,01683,51.1006340295,13.3071024326 
55,Sachsen,SN,Weinböhla,01689,51.1827615684,13.5612680638 
56,Sachsen,SN,Freital,01705,50.9978020611,13.6356217419 
57,Sachsen,SN,Wilsdruff,01723,51.0288396352,13.5046871674 
58,Sachsen,SN,Bannewitz,01728,50.9814052863,13.7233463059 
59,Sachsen,SN,Kreischa,01731,50.9485422571,13.7566062199 
60,Sachsen,SN,Rabenau,01734,50.9507192851,13.6660840711 
61,Sachsen,SN,Tharandt u.a.,01737,50.9692851418,13.5221224765 
62,Sachsen,SN,Dorfhain,01738,50.9352781825,13.5529574141 
63,Sachsen,SN,Dippoldiswalde,01744,50.8643346802,13.6476884207 
64,Sachsen,SN,Hartmannsdorf-Reichenau,01762,50.8082697245,13.5777333757 
65,Sachsen,SN,Glashütte,01768,50.8627241376,13.7578662768 
66,Sachsen,SN,Altenberg,01773,50.7765196622,13.7280718513 
67,Sachsen,SN,Klingenberg,01774,50.8948959788,13.548234595 
68,Sachsen,SN,Hermsdorf,01776,50.760077667,13.6435353635 
69,Sachsen,SN,Altenberg,01778,50.7647436844,13.8392776643 
70,Sachsen,SN,Pirna, Struppen, Dohma,01796,50.9463038775,13.9598099092 
71,Sachsen,SN,Heidenau,01809,50.9461843746,13.8414627243 
