,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,11001,Klinikum der Universität München,Marchioninistraße 15,München,Bayern,81377,,,,,Yes,,48.11070565,11.469362223087817
2,11002,Universitätsklinikum Tübingen,Geissweg 3,Tübingen,Baden-Württemberg,72076,,,,,Yes,,48.5319577,9.0392314
3,11003,Universitätsklinikum Ulm,Albert-Einstein-Allee 11,Ulm,Baden-Württemberg,89081,,,,,Yes,,48.4221445,9.952400460871338
4,11004,Universitätsklinikum des Saarlandes,Kirrberger Str. / Gebäude 86,Homburg,Saarland,66424,,,,,Yes,,49.306219049999996,7.346492461817151
5,11005,Universitätsklinikum Regensburg,Franz-Josef-Strauß-Allee 11,Regensburg,Bayern,93053,,,,,Yes,,48.987895699999996,12.08712598842719
6,11006,Universitätsklinikum Heidelberg,Im Neuenheimer Feld 410,Heidelberg,Baden-Württemberg,69117,,,,,Yes,,49.4163963,8.666712690144436
7,11007,Universitätsmedizin Göttingen,Robert-Koch-Straße 40,Göttingen,Niedersachsen,37073,,,,,Yes,,51.5507809,9.942824689495206
8,11008,Medizinische Hochschule Hannover,Carl-Neuberg-Str. 1,Hannover,Niedersachsen,30625,,,,,Yes,,52.38359095,9.804349751361295
9,11009,Universitätsklinikum Würzburg,Josef-Schneider-Str. 2,Würzburg,Bayern,97080,,,,,Yes,,49.807946,9.956900669586286
10,11010,Universitätsklinikum Schleswig-Holstein - Campus Lübeck,Ratzeburger Allee 160,Lübeck,Schleswig-Holstein,23538,,,,,Yes,,53.83645475,10.7073851740822
11,11011,Universitätsklinikum Schleswig-Holstein - Campus Kiel,Arnold-Heller-Straße 3,Kiel,Schleswig-Holstein,24105,,,,,Yes,,54.3304953,10.142887327438675
12,11012,Universitätsklinikum Köln,Kerpener Straße 62,Köln,Nordrhein-Westfalen,50937,,,,,Yes,,50.925188649999996,6.920014982951278
13,11013,Charité – Universitätsmedizin Berlin,Charitéplatz 1,Berlin,Berlin,10117,,,,,Yes,,52.526667, 13.379722
14,11014,Universitätsklinikum Münster,Albert-Schweitzer-Campus 1,Münster,Nordrhein-Westfalen,48143,,,,,Yes,,51.960550999999995,7.596033481861085
15,11015,Universitätsklinikum Erlangen,Maximilianspl. 2 ,Erlangen,Bayern,91054,,,,,Yes,,49.6005848,11.010689404503191
16,11016,Universitätsklinikum Frankfurt,Theodor-Stern-Kai 7,Frankfurt am Main,Hessen,60590,,,,,Yes,,50.0958799,8.659323
17,11017,Universitätsklinikum Freiburg,Hugstetter Str. 55,Freiburg im Breisgau,Baden-Württemberg,79104,,,,,Yes,,48.0072368,7.837299678509096
18,11018,Universitätsklinikum Gießen/Marburg,Baldingerstraße,Marburg,Hessen,35043,,,,,Yes,,50.57518705,8.665508502521151
19,11019,Otto-von-Guericke Universität Magdeburg & Universitätsklinikum Magdeburg,Leipziger Str. 44,Magdeburg,Sachsen-Anhalt,39120,,,,,Yes,,52.1019596,11.6198087
20,11020,Universitätsklinikum Carl Gustav Carus,Fetscherstr. 74,Dresden,Sachsen,01307,,,,,Yes,,51.05653805,13.78259671548122
21,11021,Universitätsklinikum Leipzig,Liebigstr. 18,Leipzig,Sachsen,04103,,,,,Yes,,51.3301304,12.388615292637777
22,11022,Universitätsklinikum Aachen,Pauwelsstr. 30,Aachen,Nordrhein-Westfalen,52074,,,,,Yes,,50.7769086,6.0445727164167575
23,11023,Universitätsklinikum Jena,Bachstraße 18,Jena,Thüringen,07743,,,,,Yes,,50.932703000000004,11.581851274751706
24,11024,Universitätsklinikum Hamburg-Eppendorf,Martinistr. 52,Hamburg,Hamburg,20251,,,,,Yes,,53.5908711,9.975358391548443
25,11025,Universitätsklinikum Essen,Hufelandstr. 55,Essen,Nordrhein-Westfalen,45147,,,,,Yes,,51.43510405,6.988777089842989
26,11026,Universitätsklinikum Bonn,Siegmund-Freud-Str. 25,Bonn,Nordrhein-Westfalen,53127,,,,,Yes,,50.700016,7.104641914215888
27,11027,Universitätsklinikum Düsseldorf,Moorenstr. 5,Düsseldorf,Nordrhein-Westfalen,40225,,,,,Yes,,51.19596785,6.789820794823264
28,11028,Universitätsklinikums der Ruhr-Universität Bochum,In der Schornau 23-25,Bochum,Nordrhein-Westfalen,44892,,,,,Yes,,51.4640424,7.327198735155829
