;id;name;address;city;state;zip;county;phone;type;ownership;emergency;quality;LAT;LON
1;11001;Klinikum der Universität München;Marchioninistraße 15;München;Bayern;81377;;;;;Yes;;48.112.907;114.734.353
2;11002;Universitätsklinikum Tübingen;Geissweg 3;Tübingen;Baden-Württemberg;72076;;;;;Yes;;;
3;11003;Universitätsklinikum Ulm;Albert-Einstein-Allee 11;Ulm;Baden-Württemberg;89081;;;;;Yes;;484.228.328;99.535.879
4;11004;Universitätsklinikum des Saarlandes;Kirrberger Str. / Gebäude 86;Homburg;Saarland;66424;;;;;Yes;;493.120.929;73.430.105
5;11005;Universitätsklinikum Regensburg;Franz-Josef-Strauß-Allee 11;Regensburg;Bayern;93053;;;;;Yes;;489.903.046;120.925.832
6;11006;Medizinische Klinik;Im Neuenheimer Feld 410;Heidelberg;Baden-Württemberg;69117;;;;;Yes;;494.168.983;86.655.214
7;11007;Universitätsmedizin Göttingen;Robert-Koch-Straße 40;Göttingen;Niedersachsen;37073;;;;;Yes;;515.487.446;9.942.686
8;11008;Medizinische Hochschule Hannover;Carl-Neuberg-Str. 1;Hannover;Niedersachsen;30625;;;;;Yes;;523.717.998;97.244.147
9;11009;Universitätsklinikum Würzburg;Josef-Schneider-Str. 2;Würzburg;Bayern;97080;;;;;Yes;;498.042.394;99.405.728
10;11010;Universitätsklinikum Schleswig-Holstein - Campus Lübeck -;Ratzeburger Allee 160;Lübeck;Schleswig-Holstein;23538;;;;;Yes;;538.400.442;106.307.455
11;11011;Universitätsklinikum Schleswig-Holstein - Campus Kiel -;Arnold-Heller-Straße 3;Kiel;Schleswig-Holstein;24105;;;;;Yes;;543.434.359;101.436.358
12;11012;Universitätsklinikum Köln;Kerpener Straße 62;Köln;Nordrhein-Westfalen;50937;;;;;Yes;;50.927.769;69.185.137
13;11013;Charite Universitätsmedizin Berlin;Charitéplatz 1;Berlin;Berlin;10117;;;;;Yes;;525.256.197;13.380.129
14;11014;Universitätsklinikum Münster;Albert-Schweitzer-Campus 1;Münster;Nordrhein-Westfalen;48143;;;;;Yes;;;
15;11015;Universitätsklinikum Erlangen;Maximilianspl. 2 ;Erlangen;Bayern;91054;;;;;Yes;;495.979.326;110.127.479
16;11016;Universitätsklinikum Frankfurt;Theodor-Stern-Kai 7;Frankfurt am Main;Hessen;60590;;;;;Yes;;;
17;11017;Universitätsklinikum Freiburg;Hugstetter Str. 55;Freiburg im Breisgau;Baden-Württemberg;79104;;;;;Yes;;480.079.003;78.574.535
18;11018;Universitätsklinikum Gießen/Marburg;Baldingerstraße;Marburg;Hessen;35043;;;;;Yes;;505.727.053;86.639.401
19;11019;Otto-von-Guericke Universität Magdeburg & Universitätsklinikum Magdeburg;Leipziger Str. 44;Magdeburg;Sachsen-Anhalt;39120;;;;;Yes;;521.298.382;116.167.777
20;11020;Universitätsklinikum Carl Gustav Carus;Fetscherstr. 74;Dresden;Sachsen;01307;;;;;Yes;;;
21;11021;Universitätsklinikum Leipzig;Liebigstr. 18;Leipzig;Sachsen;04103;;;;;Yes;;51.328.644;123.865.487
22;11022;Universitätsklinikum Aachen;Pauwelsstr. 30;Aachen;Nordrhein-Westfalen;52074;;;;;Yes;;;
23;11023;Universitätsklinikum Jena;Bachstraße 18;Jena;Thüringen;07743;;;;;Yes;;;
24;11024;Universitätsklinikum Hamburg-Eppendorf;Martinistr. 52;Hamburg;Hamburg;20251;;;;;Yes;;;
25;11025;Universitätsklinikum Essen;Hufelandstr. 55;Essen;Nordrhein-Westfalen;45147;;;;;Yes;;;
26;11026;Universitätsklinikum Bonn;Siegmund-Freud-Str. 25;Bonn;Nordrhein-Westfalen;53127;;;;;Yes;;;
27;11027;Universitätsklinikum Düsseldorf;Moorenstr. 5;Düsseldorf;Nordrhein-Westfalen;40225;;;;;Yes;;;
28;11028;Universitätsklinikums der Ruhr-Universität Bochum;In der Schornau 23-25;Bochum;Nordrhein-Westfalen;44892;;;;;Yes;;;
